🔹 SVM Evaluation
✔️ دقت کامل پلاک‌ها: 0.18
✔️ Accuracy (کاراکتر): 0.72
✔️ Precision (macro): 0.40
✔️ Recall (macro): 0.46

📊 Confusion Matrix:
True\Pred	ayin	b	d	eight	five	four	g	ghe	ghyin	h	he	jim	k	kh	le	m	n	nine	one	r	sad	seven	sin	six	t	t-lon	t-long	three	two	v	ye	z	zal	zero	zh
ayin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	0	2	0	0	0	1	0	0	0	0	0	0	0
d	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
eight	0	1	2	104	1	2	0	0	0	2	0	0	0	0	1	1	1	3	5	0	0	1	0	0	0	0	0	2	3	0	0	2	3	0	0
five	0	1	2	0	78	0	1	0	0	1	1	1	0	0	0	0	0	0	5	0	1	0	0	0	5	0	0	0	2	0	0	0	5	0	0
four	0	0	1	1	1	69	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	1	0	0	0	1	14	0	0	0	2	0	0
g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ghe	0	1	0	2	0	0	0	0	0	1	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	1	0	11	0	1	0	0
ghyin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
h	0	0	0	1	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
he	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jim	0	0	0	0	0	0	0	0	0	2	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
le	0	0	0	2	1	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
m	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
n	0	0	0	2	0	1	0	0	0	0	0	0	0	0	2	0	7	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
nine	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	94	3	0	0	2	0	1	1	0	0	0	1	0	0	0	2	0	0
one	2	2	2	6	3	0	0	0	0	0	0	2	0	1	1	0	3	4	241	0	3	7	2	2	1	0	0	1	4	1	0	0	8	0	0
r	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sad	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	9	0	6	0	0	0	0	1	0	0	0	0	0	0	0
seven	0	1	3	2	1	2	0	0	0	4	0	3	0	5	0	0	2	0	6	1	8	213	2	6	2	0	0	2	42	5	0	2	2	0	1
sin	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0
six	0	0	0	0	2	2	0	0	1	0	0	0	0	0	0	1	1	0	2	0	0	1	0	100	4	0	0	1	1	0	0	0	0	0	0
t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t-lon	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
t-long	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	8	0	0	1	0	0	0	0	1	0	0
three	0	0	3	1	0	3	0	0	0	0	0	1	1	0	2	0	0	0	2	0	0	1	0	0	0	0	0	39	55	0	0	0	3	0	0
two	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	3	1	0	1	0	1	1	1	2	2	0	0	0	103	1	0	1	2	0	0
v	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0
ye	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
z	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zero	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
zh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
