🔹 DecisionTree Evaluation
✔️ دقت کامل پلاک‌ها: 0.01
✔️ Accuracy (کاراکتر): 0.57
✔️ Precision (macro): 0.24
✔️ Recall (macro): 0.28

📊 Confusion Matrix:
True\Pred	ayin	b	che	d	eight	f	five	four	g	ghe	ghyin	h	he	jim	k	kh	le	m	n	nine	one	r	sad	seven	shin	sin	six	t	t-lon	t-long	three	two	v	ye	z	zad	zal	zero	zh
ayin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	1	0	0	2	3	0	0	1	0	0	0	0	0	0	0	0
che	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d	0	0	0	2	0	0	3	0	0	2	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	4	0	0
eight	1	0	0	10	94	0	1	4	0	0	0	2	0	0	2	1	1	1	0	4	3	0	1	0	0	0	0	3	0	0	1	3	0	0	0	1	1	0	0
f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
five	0	0	0	3	1	1	68	0	3	3	0	1	2	0	0	1	1	1	2	0	4	0	0	0	0	0	2	2	0	0	0	1	0	0	1	1	2	2	1
four	0	0	1	0	2	0	1	81	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0
g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ghe	0	0	0	0	2	1	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	5	0	0	0	0	0	7	0	0	1	1	1
ghyin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
h	0	0	1	0	1	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
he	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
jim	0	0	3	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
le	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	16	0	3	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0
m	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
n	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	4	0	1	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
nine	0	2	0	0	14	0	1	1	2	2	0	0	0	0	0	0	0	0	1	75	5	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0
one	0	1	0	2	31	1	3	2	0	2	0	0	0	0	1	0	1	1	0	4	211	1	2	6	2	0	3	0	0	0	2	6	0	0	2	1	8	1	2
r	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
