🔹 SVM Evaluation
✔️ دقت کامل پلاک‌ها: 0.17
✔️ Accuracy (کاراکتر): 0.66
✔️ Precision (macro): 0.38
✔️ Recall (macro): 0.42

📊 Confusion Matrix:
True\Pred	b	che	d	eight	f	five	four	ghe	h	he	jim	k	le	m	n	nine	one	r	sad	seven	shin	sin	six	t	t-lon	t-long	three	two	v	ye	z	zal	zero	zh
b	3	0	0	1	0	1	2	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0
che	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d	0	0	10	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
eight	0	1	1	89	0	1	1	0	0	0	1	2	0	0	2	2	3	0	0	1	0	0	2	3	0	0	1	1	0	0	2	0	0	1
f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
five	2	0	2	1	1	57	2	0	0	0	1	0	2	1	2	0	1	0	0	1	0	0	1	3	0	0	3	4	0	0	1	2	0	0
four	0	0	0	4	0	2	66	1	0	0	0	0	0	2	0	3	3	1	0	1	0	0	1	2	0	0	0	1	0	0	1	0	1	0
ghe	0	0	0	1	0	0	0	1	0	0	1	0	0	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	8	4	0	0	0	0
h	0	0	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
he	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jim	0	0	0	0	0	0	0	0	2	0	6	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
le	0	0	0	0	0	2	0	0	0	0	0	0	18	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
m	0	0	0	0	0	0	1	0	0	0	0	0	0	10	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
n	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	1	0	0	0	0	0	0	0	3	0	1	0	0	1	0
nine	0	0	2	2	0	0	0	0	0	0	1	0	0	1	3	75	3	1	0	1	0	0	1	2	0	0	0	2	0	0	0	1	0	0
one	0	0	3	1	0	7	4	0	2	0	0	0	0	0	0	1	185	2	3	18	1	1	5	3	0	0	1	4	4	0	2	3	0	0
r	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sad	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	9	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0
seven	3	0	2	1	1	1	1	0	0	0	0	2	0	1	2	1	22	11	10	185	0	1	1	4	0	0	0	13	4	0	1	5	1	0
shin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sin	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	2	1	0	7	0	0	0	0	0	1	0	0	0	0	0	0
six	0	0	0	1	1	3	2	0	1	0	1	0	0	2	1	2	3	0	0	1	0	0	69	3	0	0	0	0	0	0	0	0	0	0
t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t-lon	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
t-long	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	6	0	0	1	0	0	0	0	0	0	0
three	0	0	1	0	0	4	6	0	0	0	1	0	2	1	0	1	2	1	1	1	0	0	0	1	0	0	19	60	0	0	1	0	0	0
two	0	0	2	0	0	0	1	0	1	0	0	0	0	1	0	1	7	0	1	2	0	0	1	4	0	0	4	79	1	0	4	0	0	0
v	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0
ye	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0
z	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
zero	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
zh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
