🔹 DecisionTree Evaluation
✔️ دقت کامل پلاک‌ها: 0.02
✔️ Accuracy (کاراکتر): 0.50
✔️ Precision (macro): 0.25
✔️ Recall (macro): 0.29

📊 Confusion Matrix:
True\Pred	ayin	b	che	d	eight	f	five	four	g	ghe	ghyin	h	he	jim	k	kh	le	m	n	nine	one	r	sad	seven	shin	sin	six	t	t-lon	t-long	three	two	v	ye	z	zad	zal	zero	zh
ayin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b	0	0	0	0	1	0	0	4	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	0	0	0
che	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d	0	0	0	4	1	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0
eight	0	1	1	0	87	0	2	2	0	0	1	0	1	2	1	0	0	2	0	2	4	0	0	0	0	0	2	2	0	0	0	1	1	0	0	0	1	0	1
f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
five	1	0	2	0	1	0	55	4	0	1	1	0	4	0	0	0	1	1	0	0	2	0	0	1	0	1	1	4	0	0	1	4	0	1	0	0	1	0	0
four	0	0	1	1	4	0	2	64	0	0	0	0	0	0	0	0	1	2	0	3	3	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	2	2
g	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ghe	0	0	0	0	1	3	0	0	0	2	0	0	0	1	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	1	0	0
ghyin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
h	0	0	3	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
he	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
jim	0	0	1	0	0	0	0	0	0	0	0	6	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
kh	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
le	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	8	0	3	0	0	0	0	0	0	0	1	4	0	0	0	0	1	2	0	0	0	0	0
m	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	9	0	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
n	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	2	0	4	0	0	0	1	0
nine	0	1	1	0	2	0	0	0	0	0	1	1	1	0	0	0	0	1	1	75	3	0	0	1	0	1	1	1	0	0	0	2	0	0	0	0	2	0	0
one	0	0	2	1	1	0	7	13	1	0	0	1	0	2	0	0	0	2	1	6	157	1	1	8	0	6	10	2	0	0	1	4	2	0	1	1	17	0	2
r	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sad	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
seven	0	2	1	2	0	0	3	67	0	2	1	0	1	10	1	0	0	1	5	1	13	1	2	66	1	2	2	2	0	0	0	71	3	1	5	1	6	0	0
shin	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
sin	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	4	0	0	5	0	0	0	0	0	2	0	0	0	0	0	0	0
six	0	0	1	0	1	2	3	2	0	0	1	2	0	0	0	0	0	2	0	2	3	0	0	1	0	0	67	0	0	0	0	0	0	0	1	0	1	1	0
t	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
